lon_orig,lat_orig,lon_dest,lat_dest,req_time
13.35398,52.494741,13.357714,52.523664,320
13.52005,52.486764,13.575932,52.484208,560
13.523396,52.425535,13.538662,52.451005,720
13.593611,52.445064,13.596655,52.422276,840
13.355076,52.518392,13.322516,52.497272,1210
13.438979,52.4702,13.402939,52.596822,7260
13.596655,52.422276,13.593611,52.445064,11550
13.357714,52.523664,13.35398,52.494741,16600
13.538662,52.451005,13.523396,52.425535,16840
13.310121,52.493447,13.305801,52.469391,22340
13.26396,52.516489,13.341386,52.575293,23360
13.343076,52.526348,13.370703,52.515884,24190
13.270019,52.443574,13.291933,52.477227,24850
13.272303,52.518682,13.281068,52.524241,27230
13.322516,52.497272,13.355076,52.518392,28750
13.307596,52.503621,13.287354,52.516479,31530
13.414072,52.498442,13.45348,52.480627,32870
13.382189,52.59872,13.375507,52.587079,34440
13.511759,52.415007,13.510417,52.404545,34740
13.281068,52.524241,13.313443,52.499162,35030
13.303072,52.494073,13.322597,52.487718,35060
13.355918,52.520863,13.366984,52.507632,35790
13.165114,52.533312,13.142465,52.549827,36110
13.129913,52.544986,13.153235,52.552373,37390
13.592217,52.419082,13.459366,52.440561,37390
13.370703,52.515884,13.343076,52.526348,38270
13.305801,52.469391,13.208009,52.547594,38580
13.301034,52.490878,13.303072,52.505523,41850
13.313443,52.499162,13.345315,52.519097,41920
13.510417,52.404545,13.511759,52.415007,42410
13.375507,52.587079,13.382189,52.59872,42980
13.341386,52.575293,13.26396,52.516489,44280
13.392693,52.564167,13.366405,52.553491,44410
13.45348,52.480627,13.414072,52.498442,45680
13.366984,52.507632,13.355918,52.520863,46470
13.153235,52.552373,13.129913,52.544986,47970
13.508814,52.469913,13.573875,52.491731,48310
13.303072,52.505523,13.301034,52.490878,48920
13.178691,52.549948,13.253195,52.521259,49630
13.345315,52.519097,13.272303,52.518682,49930
13.440723,52.553688,13.42653,52.542959,52750
13.376167,52.536105,13.409717,52.538568,54230
13.30957,52.456084,13.316053,52.50768,55290
13.366405,52.553491,13.392693,52.564167,55400
13.287354,52.516479,13.307596,52.503621,56230
13.402939,52.596822,13.423647,52.589125,58820
13.386336,52.418639,13.437898,52.44743,58930
13.142465,52.549827,13.165114,52.533312,63380
13.573875,52.491731,13.508814,52.469913,64960
13.423647,52.589125,13.438979,52.4702,65690
13.344155,52.508127,13.333312,52.526997,65780
13.452857,52.48494,13.344893,52.461377,66420
13.316053,52.50768,13.30957,52.456084,67940
13.253195,52.521259,13.178691,52.549948,70270
13.333312,52.526997,13.344155,52.508127,76390
13.437898,52.44743,13.386336,52.418639,78170
13.344893,52.461377,13.342391,52.448302,80950
13.475351,52.544274,13.48901,52.515344,81720
13.500008,52.548008,13.516123,52.546338,82430
13.574893,52.542434,13.588844,52.539326,83600
13.334814,52.511424,13.376499,52.512348,84340
13.342391,52.448302,13.452857,52.48494,85020
13.390668,52.540249,13.445715,52.558426,87140
13.490595,52.420282,13.538109,52.428822,88970
13.516123,52.546338,13.500008,52.548008,89860
13.615649,52.518283,13.619939,52.525172,91240
13.599824,52.452125,13.557483,52.445771,91360
13.367013,52.412663,13.379614,52.437798,91810
13.376499,52.512348,13.334814,52.511424,93680
13.54289,52.544518,13.528881,52.553714,95340
13.667216,52.423746,13.575265,52.424324,95630
13.481872,52.514247,13.31316,52.54349,96640
13.429025,52.477303,13.464613,52.501583,97110
13.51305,52.467262,13.50628,52.437519,97550
13.324863,52.527793,13.375065,52.461703,98800
13.528881,52.553714,13.54289,52.544518,101530
13.619939,52.525172,13.615649,52.518283,103480
13.379614,52.437798,13.367013,52.412663,104200
13.642862,52.373316,13.551729,52.405124,104570
13.322597,52.487718,13.303072,52.494073,106090
13.338249,52.451898,13.312928,52.430478,106290
13.557483,52.445771,13.599824,52.452125,108440
